animal_type,intake_reason,intake_year
CAT,OWNER PROB,2017
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2018
CAT,NULL,2023
CAT,NULL,2023
DOG,NULL,2022
CAT,NULL,2019
CAT,NULL,2019
CAT,NULL,2019
BIRD,NULL,2022
CAT,NULL,2019
CAT,NULL,2019
CAT,NULL,2020
DOG,NULL,2018
DOG,NULL,2018
BIRD,NULL,2021
CAT,ABANDON,2018
CAT,NULL,2019
DOG,NULL,2021
DOG,LANDLORD,2018
CAT,NULL,2019
OTHER,NULL,2019
DOG,NULL,2024
DOG,NULL,2017
DOG,NULL,2019
DOG,NULL,2017
DOG,NULL,2017
CAT,NULL,2018
CAT,NULL,2019
CAT,NULL,2019
CAT,NULL,2022
CAT,NULL,2021
OTHER,NULL,2017
DOG,NULL,2023
CAT,NULL,2017
CAT,NULL,2025
CAT,NA,2025
CAT,NA,2025
CAT,NA,2026
CAT,NULL,2025
CAT,NA,2025
CAT,NA,2025
DOG,NA,2026
CAT,NA,2025
DOG,NULL,2019
CAT,NULL,2025
OTHER,NULL,2018
BIRD,NULL,2025
BIRD,NULL,2025
BIRD,NULL,2025
CAT,NULL,2023
CAT,NULL,2019
OTHER,NULL,2020
OTHER,NULL,2020
OTHER,NULL,2020
DOG,NA,2025
DOG,NULL,2025
CAT,NULL,2025
CAT,NULL,2022
OTHER,NULL,2025
CAT,NULL,2017
OTHER,NULL,2025
BIRD,NULL,2024
CAT,NULL,2023
BIRD,NULL,2024
DOG,NULL,2021
CAT,NULL,2018
CAT,NULL,2021
CAT,NA,2025
DOG,NULL,2019
OTHER,NULL,2018
CAT,NULL,2017
CAT,NULL,2017
DOG,NULL,2023
CAT,NULL,2019
BIRD,NULL,2019
CAT,NULL,2020
DOG,NULL,2020
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2025
CAT,NULL,2021
CAT,NULL,2017
CAT,NULL,2025
CAT,NULL,2025
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
DOG,NULL,2024
DOG,NULL,2021
CAT,NA,2026
DOG,NULL,2019
CAT,NULL,2020
CAT,OWNER PROB,2020
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2023
CAT,NULL,2022
CAT,NA,2025
RABBIT,NULL,2019
CAT,NULL,2018
BIRD,NULL,2018
OTHER,NULL,2022
CAT,NULL,2023
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2019
CAT,NULL,2024
CAT,NULL,2024
DOG,NULL,2017
DOG,NULL,2024
DOG,DIVORCE,2021
CAT,NULL,2017
DOG,NULL,2017
CAT,NULL,2023
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2018
CAT,NULL,2018
BIRD,NULL,2018
CAT,NULL,2019
CAT,NULL,2019
OTHER,NULL,2020
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2022
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2018
CAT,NULL,2020
CAT,NULL,2020
DOG,NULL,2023
CAT,NULL,2020
DOG,NULL,2020
DOG,NA,2025
DOG,NULL,2025
DOG,NULL,2025
DOG,NULL,2024
DOG,NULL,2024
CAT,NULL,2020
CAT,NULL,2020
CAT,NULL,2020
DOG,NULL,2021
DOG,NULL,2021
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2023
CAT,NULL,2022
DOG,NULL,2024
CAT,NULL,2020
DOG,NULL,2022
DOG,NULL,2019
DOG,NULL,2024
OTHER,NULL,2021
DOG,NULL,2017
BIRD,NULL,2020
CAT,NO TIME,2024
CAT,NULL,2018
CAT,NULL,2018
WILD,NULL,2020
WILD,NULL,2020
WILD,NULL,2020
DOG,NULL,2020
CAT,NULL,2017
DOG,NULL,2023
DOG,NULL,2025
OTHER,NULL,2021
OTHER,NULL,2021
OTHER,NULL,2021
DOG,NULL,2025
OTHER,NULL,2023
DOG,NULL,2022
BIRD,NULL,2018
CAT,NULL,2019
CAT,NULL,2019
CAT,NULL,2022
CAT,NULL,2021
OTHER,NULL,2024
LIVESTOCK,NULL,2017
DOG,NULL,2021
CAT,NULL,2018
DOG,NULL,2020
CAT,NULL,2020
DOG,NULL,2020
DOG,NULL,2017
CAT,NULL,2018
DOG,NULL,2022
DOG,NULL,2023
DOG,NULL,2024
CAT,NULL,2025
CAT,NA,2026
DOG,NULL,2023
CAT,NULL,2017
CAT,NA,2026
DOG,NA,2026
DOG,NULL,2021
DOG,NULL,2021
DOG,NULL,2021
DOG,NULL,2021
DOG,NULL,2021
DOG,NULL,2021
DOG,NULL,2021
DOG,NULL,2022
DOG,NULL,2022
CAT,NA,2026
DOG,NULL,2018
CAT,NULL,2025
CAT,ALLERGIC,2025
BIRD,NULL,2017
CAT,NULL,2021
DOG,NULL,2023
DOG,NULL,2022
BIRD,NULL,2022
DOG,ILL,2021
DOG,NULL,2024
DOG,NULL,2023
CAT,NULL,2024
CAT,NULL,2025
CAT,NULL,2022
CAT,NULL,2017
CAT,TOO MANY,2020
CAT,TOO MANY,2020
CAT,NULL,2020
DOG,NULL,2024
DOG,NULL,2021
DOG,NA,2026
DOG,NULL,2022
CAT,NULL,2018
WILD,NULL,2020
CAT,NA,2025
DOG,NULL,2024
DOG,NULL,2024
CAT,NULL,2023
RABBIT,NULL,2018
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2021
CAT,NULL,2021
CAT,NULL,2021
CAT,NULL,2020
DOG,NULL,2020
BIRD,NULL,2018
CAT,NULL,2021
DOG,NULL,2023
OTHER,NULL,2022
BIRD,NULL,2021
DOG,NULL,2023
DOG,NULL,2024
DOG,NULL,2017
CAT,AGG PEOPLE,2022
DOG,LANDLORD,2024
OTHER,NULL,2020
DOG,NULL,2019
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2023
CAT,AGG ANIMAL,2020
DOG,NULL,2024
DOG,NULL,2025
DOG,NULL,2025
DOG,NULL,2021
OTHER,NULL,2023
OTHER,NULL,2025
CAT,NULL,2023
CAT,NULL,2020
CAT,NULL,2019
DOG,NULL,2023
DOG,COST,2023
CAT,OWNER PROB,2019
BIRD,NULL,2022
OTHER,NULL,2023
CAT,NULL,2020
CAT,NULL,2020
CAT,NULL,2021
CAT,NULL,2024
DOG,NULL,2021
OTHER,NULL,2024
WILD,NULL,2022
OTHER,NULL,2018
DOG,NULL,2018
DOG,NULL,2022
CAT,OWNER PROB,2021
DOG,NULL,2022
DOG,NULL,2019
WILD,NULL,2022
CAT,NULL,2021
CAT,NULL,2021
DOG,NULL,2019
CAT,NULL,2020
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2018
DOG,NULL,2022
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2025
REPTILE,NULL,2023
DOG,NULL,2024
CAT,NULL,2023
DOG,NULL,2025
CAT,NULL,2025
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
DOG,NULL,2023
BIRD,NULL,2023
DOG,NULL,2019
CAT,NULL,2019
CAT,NULL,2018
DOG,NULL,2018
DOG,NULL,2019
DOG,NULL,2017
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2017
OTHER,NULL,2019
OTHER,NULL,2025
OTHER,NULL,2023
CAT,NULL,2019
CAT,NULL,2019
DOG,NULL,2017
DOG,NULL,2018
CAT,MOVE,2017
CAT,NULL,2024
CAT,NULL,2022
DOG,NULL,2018
CAT,NULL,2021
CAT,NULL,2021
CAT,NULL,2021
CAT,NULL,2021
DOG,NULL,2019
OTHER,NULL,2017
CAT,DOA,2018
CAT,OWNER DIED,2018
DOG,NULL,2023
DOG,NULL,2017
DOG,NULL,2024
DOG,NULL,2017
CAT,NULL,2020
DOG,NULL,2018
DOG,NULL,2020
OTHER,NULL,2018
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2017
CAT,NULL,2017
DOG,NULL,2022
BIRD,NULL,2022
REPTILE,NULL,2017
CAT,NULL,2020
DOG,NULL,2020
OTHER,NULL,2024
CAT,NULL,2019
OTHER,NULL,2018
OTHER,NULL,2020
WILD,NULL,2019
WILD,NULL,2019
WILD,NULL,2019
BIRD,NULL,2021
CAT,NULL,2023
DOG,OWNER PROB,2017
DOG,OWNER PROB,2017
DOG,NULL,2023
CAT,NULL,2018
CAT,MOVE,2018
DOG,NULL,2021
DOG,ILL,2022
DOG,NULL,2023
CAT,NULL,2024
DOG,OWNER PROB,2026
CAT,NULL,2023
DOG,NULL,2024
CAT,ALLERGIC,2022
BIRD,NULL,2021
BIRD,NULL,2024
CAT,NULL,2021
CAT,NULL,2022
DOG,NULL,2018
BIRD,NULL,2024
DOG,NULL,2024
CAT,NULL,2020
CAT,NULL,2020
DOG,TOO BIG,2025
CAT,NULL,2022
DOG,NULL,2022
DOG,NULL,2024
DOG,NULL,2024
GUINEA PIG,OWNER PROB,2025
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2021
CAT,POOR HELTH,2021
DOG,NULL,2022
DOG,NULL,2018
CAT,NULL,2017
CAT,MOVE,2018
CAT,NULL,2018
CAT,NULL,2018
DOG,NULL,2019
DOG,NULL,2019
WILD,NULL,2017
CAT,NULL,2020
CAT,NULL,2020
WILD,NULL,2023
BIRD,NULL,2025
CAT,NULL,2022
CAT,NULL,2022
OTHER,NULL,2023
DOG,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
DOG,NULL,2025
DOG,NULL,2018
DOG,AGG ANIMAL,2017
CAT,NULL,2017
DOG,NULL,2022
DOG,NULL,2023
DOG,NULL,2019
CAT,NULL,2025
CAT,NULL,2025
CAT,NULL,2025
DOG,ALLERGIC,2025
CAT,NULL,2020
BIRD,NULL,2018
CAT,NULL,2017
BIRD,NULL,2025
RABBIT,NULL,2025
DOG,NULL,2019
DOG,NULL,2019
DOG,NULL,2025
CAT,NULL,2025
DOG,NULL,2024
DOG,NULL,2018
DOG,NULL,2018
CAT,NULL,2025
CAT,NULL,2017
CAT,NULL,2017
DOG,NULL,2020
CAT,NULL,2017
CAT,NULL,2025
CAT,NULL,2025
CAT,NULL,2025
REPTILE,NULL,2021
DOG,NULL,2021
CAT,NULL,2025
DOG,NULL,2025
CAT,NULL,2021
CAT,NULL,2021
CAT,NULL,2020
DOG,LANDLORD,2018
CAT,NULL,2019
CAT,NULL,2019
CAT,OWNER PROB,2025
DOG,NA,2026
CAT,NULL,2021
CAT,NULL,2021
CAT,NULL,2019
CAT,NULL,2019
CAT,NULL,2019
CAT,NULL,2019
CAT,NULL,2019
DOG,MOVE,2021
DOG,NULL,2019
DOG,NULL,2024
CAT,NULL,2023
CAT,NULL,2023
DOG,NULL,2023
DOG,NULL,2017
DOG,NULL,2017
DOG,NULL,2025
CAT,NULL,2022
DOG,NULL,2018
WILD,NULL,2024
WILD,NULL,2025
DOG,OWNER PROB,2019
CAT,NULL,2017
DOG,NULL,2019
CAT,NULL,2025
WILD,NULL,2019
WILD,NULL,2019
WILD,NULL,2019
WILD,NULL,2019
CAT,NULL,2023
DOG,NULL,2018
DOG,NULL,2018
CAT,NULL,2019
DOG,ESCAPES,2020
DOG,NULL,2025
CAT,NULL,2023
CAT,NULL,2018
BIRD,NULL,2022
CAT,NULL,2018
DOG,NULL,2020
DOG,NULL,2025
DOG,NULL,2021
CAT,NULL,2025
CAT,NULL,2017
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2025
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
DOG,NULL,2023
CAT,NA,2025
CAT,NA,2025
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2020
CAT,NULL,2023
CAT,NULL,2023
DOG,NULL,2023
DOG,NULL,2024
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2024
DOG,CHILD PROB,2022
DOG,NULL,2021
DOG,NULL,2017
WILD,NA,2025
DOG,NULL,2023
CAT,NULL,2022
CAT,NULL,2023
CAT,NULL,2023
WILD,NULL,2024
WILD,NULL,2024
DOG,NULL,2024
CAT,NULL,2022
WILD,NULL,2021
DOG,NULL,2021
WILD,NULL,2024
CAT,NULL,2025
BIRD,NULL,2020
CAT,NULL,2025
DOG,NULL,2020
RABBIT,NA,2026
DOG,NULL,2025
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
REPTILE,OWNER PROB,2024
DOG,NULL,2017
DOG,NULL,2017
REPTILE,NULL,2024
CAT,NULL,2018
CAT,NULL,2018
DOG,NULL,2018
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2020
CAT,NULL,2020
CAT,NULL,2020
CAT,NULL,2019
CAT,NULL,2019
BIRD,NULL,2020
DOG,NULL,2017
CAT,NULL,2024
DOG,NULL,2018
DOG,NULL,2024
DOG,AGG PEOPLE,2020
DOG,NULL,2024
DOG,NULL,2019
CAT,NULL,2023
WILD,NULL,2021
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2018
DOG,NULL,2025
DOG,NULL,2025
DOG,NULL,2023
DOG,NULL,2023
CAT,NA,2026
CAT,NULL,2024
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2025
DOG,NULL,2024
DOG,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,OWNER PROB,2025
CAT,OWNER PROB,2025
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2023
OTHER,NULL,2020
DOG,NULL,2024
DOG,NULL,2024
CAT,NULL,2024
CAT,NULL,2019
DOG,MOVE,2017
DOG,NULL,2018
DOG,NULL,2020
DOG,AGG ANIMAL,2017
CAT,NULL,2021
OTHER,NULL,2017
BIRD,NULL,2017
CAT,NULL,2018
CAT,NULL,2019
BIRD,NULL,2020
OTHER,NULL,2020
DOG,NULL,2020
DOG,NULL,2018
DOG,NULL,2020
DOG,NULL,2020
CAT,NULL,2020
CAT,NULL,2020
DOG,NULL,2021
DOG,NULL,2021
DOG,NULL,2019
CAT,NULL,2023
DOG,NULL,2017
DOG,NULL,2017
CAT,NULL,2018
CAT,NULL,2025
CAT,NULL,2017
DOG,NULL,2017
CAT,NA,2025
DOG,COST,2022
DOG,NULL,2023
CAT,NULL,2017
DOG,NULL,2022
CAT,NULL,2018
DOG,NULL,2018
CAT,NULL,2018
CAT,NULL,2024
DOG,NULL,2024
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2017
CAT,NULL,2017
DOG,NULL,2023
CAT,NULL,2017
CAT,NULL,2017
DOG,COST,2018
BIRD,NULL,2022
CAT,NULL,2018
DOG,NA,2025
DOG,NA,2025
CAT,NULL,2024
CAT,NULL,2022
DOG,NULL,2020
DOG,NULL,2017
OTHER,NULL,2023
WILD,NULL,2017
DOG,NULL,2023
CAT,NULL,2018
DOG,NULL,2023
CAT,NULL,2021
DOG,NULL,2018
DOG,NULL,2025
DOG,NULL,2025
DOG,NULL,2019
CAT,NULL,2025
OTHER,NULL,2018
WILD,NULL,2017
DOG,NULL,2019
WILD,NULL,2024
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2017
CAT,NULL,2021
WILD,NULL,2021
BIRD,NA,2025
DOG,NULL,2020
WILD,NULL,2023
WILD,NULL,2017
OTHER,NULL,2025
DOG,NULL,2022
OTHER,NULL,2022
CAT,NULL,2024
CAT,NULL,2024
DOG,NULL,2018
CAT,NULL,2018
RABBIT,NULL,2022
BIRD,NULL,2022
BIRD,NULL,2018
BIRD,NULL,2018
DOG,NULL,2022
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2023
CAT,NULL,2025
CAT,NULL,2022
CAT,NULL,2019
OTHER,NULL,2022
REPTILE,NULL,2018
DOG,NULL,2019
CAT,NULL,2024
WILD,NULL,2021
CAT,NULL,2025
DOG,NULL,2021
DOG,NULL,2021
WILD,NULL,2020
DOG,NULL,2018
CAT,NULL,2023
DOG,NULL,2024
CAT,NULL,2023
DOG,NULL,2024
OTHER,OWNER PROB,2021
OTHER,OWNER PROB,2021
OTHER,OWNER PROB,2021
OTHER,OWNER PROB,2021
OTHER,OWNER PROB,2021
OTHER,OWNER PROB,2021
GUINEA PIG,NULL,2022
CAT,NULL,2017
CAT,NULL,2018
OTHER,NULL,2024
DOG,NULL,2022
DOG,NULL,2017
WILD,NULL,2025
CAT,NULL,2025
BIRD,NULL,2024
DOG,NULL,2019
BIRD,NULL,2018
DOG,NULL,2018
DOG,NULL,2020
WILD,NULL,2020
WILD,NULL,2020
BIRD,NULL,2022
BIRD,NULL,2022
BIRD,NULL,2022
CAT,NULL,2022
BIRD,NULL,2020
BIRD,NULL,2022
DOG,NULL,2024
OTHER,NULL,2022
BIRD,NULL,2025
CAT,NULL,2024
DOG,NULL,2022
CAT,NULL,2018
CAT,NULL,2017
CAT,NA,2026
WILD,NULL,2024
CAT,NULL,2024
DOG,NULL,2023
DOG,NULL,2023
DOG,NULL,2022
DOG,MOVE,2020
CAT,NULL,2025
DOG,NULL,2022
CAT,NULL,2022
CAT,NULL,2020
CAT,NULL,2019
DOG,NULL,2025
OTHER,NULL,2021
CAT,NULL,2023
BIRD,NA,2026
WILD,NULL,2021
WILD,NULL,2022
DOG,AFRAID,2020
BIRD,NULL,2025
DOG,OTHER PET,2024
BIRD,NULL,2025
RABBIT,NULL,2020
RABBIT,NULL,2020
BIRD,NULL,2020
GUINEA PIG,OWNER PROB,2021
WILD,NULL,2023
OTHER,NULL,2020
OTHER,NULL,2020
OTHER,NULL,2020
DOG,OWNER DIED,2025
CAT,NULL,2021
BIRD,NULL,2024
DOG,OWNER PROB,2024
OTHER,NULL,2020
CAT,NULL,2023
CAT,NULL,2025
DOG,NULL,2024
CAT,NULL,2025
DOG,NULL,2023
DOG,NULL,2025
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2023
CAT,NA,2025
DOG,NULL,2020
CAT,NULL,2017
CAT,NULL,2017
DOG,NULL,2017
DOG,NULL,2017
CAT,NULL,2018
OTHER,NULL,2020
CAT,NULL,2017
CAT,NULL,2023
CAT,NULL,2019
BIRD,NULL,2019
DOG,NA,2025
CAT,NULL,2017
CAT,NULL,2017
BIRD,NULL,2022
BIRD,NULL,2019
CAT,NA,2025
DOG,NULL,2017
BIRD,NULL,2024
DOG,NULL,2024
BIRD,NULL,2018
BIRD,NULL,2018
DOG,NULL,2017
DOG,NULL,2017
OTHER,NULL,2017
CAT,NULL,2017
BIRD,NULL,2018
BIRD,NULL,2019
BIRD,NULL,2020
OTHER,NULL,2021
BIRD,NULL,2022
OTHER,NULL,2022
DOG,NULL,2017
GUINEA PIG,MOVE,2017
BIRD,NULL,2021
DOG,OWNER PROB,2019
OTHER,NULL,2021
DOG,NULL,2023
BIRD,NULL,2022
GUINEA PIG,NO TIME,2018
CAT,NULL,2018
DOG,NULL,2018
REPTILE,NULL,2019
BIRD,NULL,2018
CAT,NULL,2017
CAT,NULL,2020
OTHER,NULL,2022
OTHER,NULL,2022
OTHER,NULL,2022
OTHER,NULL,2022
DOG,NA,2026
DOG,NA,2025
DOG,NULL,2020
DOG,NULL,2023
DOG,NULL,2021
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2020
CAT,NULL,2020
DOG,NULL,2021
WILD,NULL,2020
CAT,NULL,2020
DOG,NULL,2019
CAT,NULL,2019
CAT,NULL,2021
DOG,NULL,2021
CAT,NULL,2018
DOG,NULL,2020
CAT,NULL,2023
DOG,NULL,2023
GUINEA PIG,NULL,2022
BIRD,NULL,2017
DOG,NULL,2023
BIRD,NULL,2019
CAT,NULL,2019
CAT,NULL,2020
CAT,NULL,2023
CAT,NULL,2023
CAT,NULL,2023
DOG,NULL,2021
DOG,NULL,2024
DOG,NULL,2023
DOG,NULL,2024
CAT,NULL,2024
CAT,NULL,2021
DOG,NULL,2019
WILD,NULL,2017
CAT,NULL,2024
OTHER,NA,2025
OTHER,NULL,2019
WILD,NULL,2020
WILD,NULL,2023
CAT,NULL,2025
CAT,NULL,2025
CAT,NULL,2020
CAT,NULL,2020
OTHER,NULL,2022
CAT,NULL,2017
DOG,NULL,2021
RABBIT,OTHER PET,2023
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2024
CAT,NULL,2024
CAT,NULL,2021
CAT,NULL,2022
CAT,NULL,2024
CAT,NULL,2020
CAT,NA,2025
DOG,NULL,2023
DOG,NULL,2023
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2022
CAT,NULL,2020
DOG,NA,2026
WILD,NULL,2021
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2018
CAT,NULL,2018
OTHER,NULL,2018
CAT,NULL,2018
CAT,NULL,2018
DOG,NULL,2018
CAT,NA,2025
