RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,37455,Si Woo Kim,33' 3",21964.583,661,21
2,0,57366,Cameron Young,33' 6",16166.333,483,T15
3,0,24502,Adam Scott,33' 7",14989.167,446,T19
4,5,39324,J.J. Spaun,33' 11",16408.917,484,T50
5,4,50525,Collin Morikawa,34' 1",13496.417,396,T5
6,11,25900,Lucas Glover,34' 5",12956.250,376,161
6,3,60386,Sudarshan Yellamaraju,34' 5",19688.417,572,46
8,-4,52955,Ludvig Åberg,34' 6",15373.000,446,22
8,-3,28237,Rory McIlroy,34' 6",8528.417,247,12
8,-3,46340,Alex Smalley,34' 6",21576.833,626,14
11,-6,40098,Matt Fitzpatrick,34' 7",18530.750,536,3
12,-4,34076,Joel Dahmen,34' 8",13046.417,376,27
13,2,48117,Kurt Kitayama,34' 11",19224.000,551,10
13,0,50095,Austin Smotherman,34' 11",16794.750,481,36
15,2,61522,Michael Brennan,35' 0",16067.750,459,69
15,8,35532,Tom Hoge,35' 0",19395.750,554,T105
15,-2,32839,Hideki Matsuyama,35' 0",19367.583,554,49
18,-6,33204,Shane Lowry,35' 2",14988.417,426,39
19,-3,59141,Matt McCarty,35' 3",21913.333,621,T124
20,1,39997,Corey Conners,35' 4",18870.667,534,66
20,7,51287,Ryo Hisatsune,35' 4",24581.000,696,2
20,7,25493,Nick Taylor,35' 4",22701.500,642,T50
23,-4,36689,Brooks Koepka,35' 6",11977.083,337,T23
24,2,59018,Ryan Gerard,35' 7",20920.250,588,T15
24,-4,59143,Mac Meissner,35' 7",17136.250,482,38
26,-5,31646,Emiliano Grillo,35' 8",17652.833,495,95
26,8,34098,Russell Henley,35' 8",16641.083,467,57
28,-5,50286,A.J. Ewart,35' 9",17098.333,478,34
29,-4,40026,Daniel Berger,35' 10",20425.583,570,T8
29,4,52666,Sami Valimaki,35' 10",16565.083,462,85
31,15,56630,Akshay Bhatia,35' 11",16612.083,462,41
32,0,63454,Johnny Keefer,36' 0",18486.667,513,4
33,-6,57259,Dan Brown,36' 1",12889.500,357,86
33,6,32102,Rickie Fowler,36' 1",19264.000,534,43
33,9,27644,Brian Harman,36' 1",19893.083,551,127
33,-6,40115,Adam Svensson,36' 1",10329.667,286,T74
33,1,57364,Michael Thorbjornsen,36' 1",20459.250,567,45
38,-4,37378,Min Woo Lee,36' 3",19360.917,534,84
39,10,59095,Chris Gotterup,36' 4",21366.000,588,31
39,-12,47420,Jake Knapp,36' 4",18877.583,520,71
41,14,34021,Bud Cauley,36' 5",22813.583,627,99
41,-2,51977,Max Greyserman,36' 5",13506.750,371,136
43,18,52453,Nicolai Højgaard,36' 6",20203.000,553,56
43,18,49960,Sepp Straka,36' 6",17656.333,484,72
45,7,51766,Wyndham Clark,36' 7",18873.833,516,T76
45,-6,51349,Nico Echavarria,36' 7",18808.750,514,101
45,-2,39335,Kevin Roy,36' 7",19359.667,529,T121
45,-2,58168,Davis Thompson,36' 7",15666.583,428,29
45,-2,55573,John VanDerLaan,36' 7",13069.167,357,58
50,-16,60004,Jacob Bridgeman,36' 8",22088.500,603,25
50,5,29936,Ryan Fox,36' 8",14379.667,392,109
50,-4,35296,Haotong Li,36' 8",15053.917,411,13
50,-4,54783,Dylan Wu,36' 8",12459.250,340,T5
54,21,51997,Andrew Novak,36' 9",20961.333,571,130
55,-3,52686,Rasmus Højgaard,36' 10",15130.833,411,30
55,0,39971,Sungjae Im,36' 10",10501.250,285,153
57,4,33141,Keegan Bradley,36' 11",16408.250,444,138
57,-2,22405,Justin Rose,36' 11",10528.083,285,1
59,2,46414,Aaron Rai,37' 0",13214.750,357,T15
59,2,27214,Kevin Streelman,37' 0",9292.917,251,T50
59,2,60019,Jackson Suber,37' 0",10570.750,286,T50
59,2,31323,Gary Woodland,37' 0",16481.417,445,73
63,-29,46717,Viktor Hovland,37' 1",17143.833,462,110
63,18,39975,Michael Kim,37' 1",21744.500,587,141
63,6,30926,Chris Kirk,37' 1",17654.000,476,47
63,6,28723,John Parry,37' 1",19228.250,519,T8
63,6,47983,Chad Ramey,37' 1",21881.667,590,116
63,-14,46464,Jordan Smith,37' 1",20379.667,550,11
69,12,54304,Karl Vilips,37' 2",16513.833,444,137
70,-9,55893,Sam Stevens,37' 4",23450.167,628,26
71,14,47504,Sam Burns,37' 5",16009.417,428,48
71,10,57123,Steven Fisk,37' 5",19999.167,535,96
71,5,65256,David Ford,37' 5",15463.000,413,67
71,5,55182,Tom Kim,37' 5",20674.250,553,44
71,-16,36326,David Lipsky,37' 5",11407.750,305,117
71,-19,47993,Denny McCarthy,37' 5",23349.083,624,T131
71,5,47995,Davis Riley,37' 5",12567.583,336,147
71,5,34371,Adrien Saddier,37' 5",14008.333,374,83
79,-30,54788,Chandler Blanchet,37' 6",13336.000,356,82
79,2,50497,Adrien Dumont de Chassart,37' 6",16774.167,447,98
79,-6,57975,Harry Hall,37' 6",18639.000,497,90
79,15,60067,Joe Highsmith,37' 6",22708.083,605,152
79,0,33448,Justin Thomas,37' 6",9337.583,249,150
84,17,59836,Pierceson Coody,37' 8",22937.500,609,28
84,4,28089,Jason Day,37' 8",16690.000,443,32
84,2,49855,Kristoffer Reitan,37' 8",16773.083,445,120
87,1,37275,Sam Ryder,37' 9",12821.917,340,89
87,1,63807,Neal Shipley,37' 9",10801.667,286,T87
89,2,39546,Keith Mitchell,37' 10",23547.750,622,18
89,2,56781,Isaiah Salinda,37' 10",9345.083,247,T50
91,3,45522,Christiaan Bezuidenhout,37' 11",17028.083,449,111
91,3,54628,Lee Hodges,37' 11",16283.417,429,65
93,21,59440,Ricky Castillo,38' 0",19610.167,516,123
93,5,30911,Tommy Fleetwood,38' 0",16259.167,428,80
93,-24,48887,Matt Wallace,38' 0",14942.417,393,T128
96,-5,35450,Patrick Cantlay,38' 1",17056.250,448,T19
96,-41,63343,Aldrich Potgieter,38' 1",16255.583,427,T92
98,1,66743,Luke Clanton,38' 2",10227.167,268,60
98,1,45242,Kevin Yu,38' 2",14986.750,393,59
100,1,59006,Davis Chatfield,38' 3",11621.417,304,126
100,19,63121,William Mouw,38' 3",17720.000,463,37
102,1,49120,Kensei Hirata,38' 4",14989.667,391,107
102,-5,46442,Maverick McNealy,38' 4",22515.667,588,97
102,1,33968,Thorbjørn Olesen,38' 4",12997.917,339,61
102,1,57900,Chandler Phillips,38' 4",18335.750,478,158
102,24,47347,Adam Schenk,38' 4",20519.750,535,T121
107,0,57362,Austin Eckroat,38' 5",15190.250,395,T92
107,0,52375,Doug Ghim,38' 5",13785.750,359,70
107,0,49766,Hank Lebioda,38' 5",15181.083,395,33
107,4,36699,Patrick Rodgers,38' 5",28302.583,736,81
107,0,37076,Marcelo Rozo,38' 5",9601.167,250,103
112,-1,51950,Max McGreevy,38' 6",22782.333,592,T23
112,-9,48081,Xander Schauffele,38' 6",20023.250,520,35
114,24,54421,Garrick Higgo,38' 7",18704.250,485,155
114,13,40250,Taylor Pendrith,38' 7",20658.750,535,42
116,-2,32070,Rafael Campos,38' 8",10410.167,269,108
116,-2,47393,Jeffrey Kang,38' 8",12404.333,321,160
116,-2,48867,Matti Schmid,38' 8",22011.000,569,100
119,-6,51634,Sahith Theegala,38' 9",26966.833,696,64
120,1,34099,Harris English,38' 10",21438.833,552,T74
120,0,52689,Rasmus Neergaard-Petersen,38' 10",11732.833,302,91
120,1,27064,Jhonattan Vegas,38' 10",17979.333,463,133
123,-2,35506,Mackenzie Hughes,38' 11",18072.500,464,68
123,2,51003,Marco Penge,38' 11",18687.167,480,119
123,-2,28252,Seamus Power,38' 11",17404.250,447,79
126,10,54591,Ben Griffin,39' 1",22327.333,571,T62
126,1,27349,Alex Noren,39' 1",18105.667,463,115
128,-1,29535,Brice Garnett,39' 2",12525.083,320,102
128,9,49771,J.T. Poston,39' 2",19562.000,499,40
128,-1,38991,Alejandro Tosti,39' 2",11082.833,283,157
128,-1,54607,Danny Walker,39' 2",19515.333,498,146
132,1,37338,Zecheng Dou,39' 3",18909.833,482,T50
132,1,32757,Patton Kizzire,39' 3",14746.500,376,142
132,1,34046,Jordan Spieth,39' 3",23888.333,608,T62
135,-8,46443,Brian Campbell,39' 4",16692.167,424,162
136,-22,29725,Tony Finau,39' 5",25142.000,638,148
136,2,29420,Billy Horschel,39' 5",24799.833,629,113
138,0,36801,Mark Hubbard,39' 7",17068.167,431,T131
138,0,40162,Justin Lower,39' 7",9780.167,247,154
140,13,39977,Max Homa,39' 9",19171.000,482,T105
140,2,46046,Scottie Scheffler,39' 9",18358.333,462,7
142,2,51696,Rico Hoey,40' 0",25752.083,644,114
142,2,51600,Jimmy Stanger,40' 0",10592.167,265,T124
144,2,48001,Zach Bauchou,40' 2",20763.833,517,T76
144,2,50188,S.H. Kim,40' 2",19299.000,480,118
146,11,34256,Andrew Putnam,40' 3",20972.250,521,104
147,2,47917,Takumi Kanaya,40' 4",21700.250,538,151
148,2,47591,Eric Cole,40' 5",19470.167,482,140
148,2,45157,Cam Davis,40' 5",11283.083,279,159
148,2,35461,Beau Hossler,40' 5",12986.083,321,134
148,-5,52215,Robert MacIntyre,40' 5",21598.917,534,94
152,3,55851,Pontus Nyholm,40' 9",13169.917,323,139
153,3,36799,Stephan Jaeger,40' 10",21784.917,534,T128
154,3,54576,Patrick Fishburn,41' 0",10285.917,251,78
155,4,40006,Erik van Rooyen,41' 1",14514.083,353,143
156,4,49947,Taylor Moore,41' 6",18484.583,445,144
156,4,57586,Jesper Svensson,41' 6",8765.000,211,112
158,4,48153,Matthieu Pavon,41' 8",20001.167,480,135
159,4,34466,Peter Malnati,41' 9",13351.000,320,149
