RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,1,51600,Jimmy Stanger,.53%,2,378
2,1,57362,Austin Eckroat,.57%,3,522
3,1,60004,Jacob Bridgeman,.69%,5,720
4,-3,39971,Sungjae Im,.83%,3,360
5,0,35506,Mackenzie Hughes,.96%,5,522
6,0,49947,Taylor Moore,1.19%,6,504
7,7,59440,Ricky Castillo,1.39%,9,648
7,2,32102,Rickie Fowler,1.39%,8,576
9,-2,60386,Sudarshan Yellamaraju,1.42%,10,702
10,0,47983,Chad Ramey,1.46%,10,684
11,3,47591,Eric Cole,1.56%,9,576
11,14,46046,Scottie Scheffler,1.56%,9,576
13,3,47917,Takumi Kanaya,1.59%,10,630
13,4,59141,Matt McCarty,1.59%,12,756
15,4,57900,Chandler Phillips,1.67%,9,540
15,-3,49771,J.T. Poston,1.67%,9,540
17,-4,51349,Nico Echavarria,1.68%,10,594
18,2,47393,Jeffrey Kang,1.69%,7,414
19,9,29725,Tony Finau,1.71%,12,702
19,2,34371,Adrien Saddier,1.71%,8,468
21,10,29420,Billy Horschel,1.75%,12,684
22,1,35461,Beau Hossler,1.78%,8,450
22,1,34466,Peter Malnati,1.78%,8,450
24,17,33204,Shane Lowry,1.79%,9,504
24,17,54304,Karl Vilips,1.79%,9,504
26,0,50188,S.H. Kim,1.80%,11,612
26,-15,47420,Jake Knapp,1.80%,11,612
28,-1,59018,Ryan Gerard,1.81%,13,720
29,18,47504,Sam Burns,1.85%,10,540
29,32,25900,Lucas Glover,1.85%,7,378
29,9,55893,Sam Stevens,1.85%,14,756
29,-12,25493,Nick Taylor,1.85%,14,756
33,8,37455,Si Woo Kim,1.89%,15,792
34,12,34099,Harris English,1.90%,13,684
35,18,28089,Jason Day,1.91%,11,576
35,-6,50497,Adrien Dumont de Chassart,1.91%,11,576
35,18,57975,Harry Hall,1.91%,11,576
38,-4,50525,Collin Morikawa,1.92%,9,468
39,-9,22405,Justin Rose,1.93%,8,414
40,16,34021,Bud Cauley,1.95%,13,666
41,-10,48153,Matthieu Pavon,1.96%,12,612
42,18,40026,Daniel Berger,2.01%,13,648
42,-9,28723,John Parry,2.01%,13,648
44,21,57123,Steven Fisk,2.02%,12,594
45,2,46443,Brian Campbell,2.04%,11,540
45,2,46717,Viktor Hovland,2.04%,11,540
45,-10,28252,Seamus Power,2.04%,11,540
45,-10,49855,Kristoffer Reitan,2.04%,11,540
49,12,46442,Maverick McNealy,2.05%,14,684
49,-11,46340,Alex Smalley,2.05%,14,684
